comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
Ugx46_elaKPBfHM3QFp4AaABAg,@Shimbo123,Dope af great recreation Jimmy. And fuck those cancel culture Karen's who are jealous at your success in life. You really are a beast,2021-11-25T17:08:14Z,dope af great recreation jimmy and fuck those cancel culture karen s who are jealous at your success in life you really are a beast,0.22499999999999998,Positive,"['dope', 'af', 'great', 'recreation', 'jimmy', 'fuck', 'cancel', 'culture', 'karen', 'jealous', 'success', 'life', 'really', 'beast']",0
UgwnG2jyEvDFYJMRm5N4AaABAg,@StudyingAdvice,"thinking of the sheer dedication that went into this entire conundrum is insane, and mind you, squid game has only been out for *2 months* and to prepare and construct this insane setting can take up to years even decades, absolute madlad",2021-11-25T17:08:11Z,thinking of the sheer dedication that went into this entire conundrum is insane and mind you squid game has only been out for 2 months and to prepare and construct this insane setting can take up to years even decades absolute madlad,-0.3142857142857142,Negative,"['thinking', 'sheer', 'dedication', 'go', 'entire', 'conundrum', 'insane', 'mind', 'squid', 'game', 'month', 'prepare', 'construct', 'insane', 'setting', 'take', 'year', 'even', 'decade', 'absolute', 'madlad']",0
UgyKsMl1ON308zJQn9J4AaABAg,@chriseileengould6519,Done where my 10 grand,2021-11-25T17:08:10Z,done where my 10 grand,0.5,Positive,"['do', 'grand']",4
UgymIJrW3b_QahGp8O94AaABAg,@louiseburton16,Wow,2021-11-25T17:08:08Z,wow,0.1,Positive,['wow'],1
UgwV0225m7U2BDFqKc54AaABAg,@aljohnbalog4238,Jimmy is the best!,2021-11-25T17:08:08Z,jimmy is the best,1.0,Positive,"['jimmy', 'good']",3
Ugwwzqa3AClNO54K9Np4AaABAg,@daviddasilvambmp,Se llama El Juego del Calamar pero no termina con dicho juego. Manda cojones. Decepción absoluta.,2021-11-25T17:08:06Z,se llama el juego del calamar pero no termina con dicho juego manda cojones decepción absoluta,0.0,Neutral,"['se', 'llama', 'el', 'juego', 'del', 'calamar', 'pero', 'termina', 'con', 'dicho', 'juego', 'manda', 'cojone', 'decepción', 'absoluta']",4
Ugz5rXMulpvL65S9P-Z4AaABAg,@ukaszBazarnik,Wow this is crazy!,2021-11-25T17:08:05Z,wow this is crazy,-0.25,Negative,"['wow', 'crazy']",1
Ugx9u4CsfBivcx17E_V4AaABAg,@nicolasdionne5866,Is the best game,2021-11-25T17:08:03Z,is the best game,0.3,Positive,"['good', 'game']",3
UgwVB26gAEtOl2w6eTN4AaABAg,@dannydash5007,Mr beast been a huge fan for awhile u been the best for awhile happy thanksgiving mam,2021-11-25T17:08:01Z,mr beast been a huge fan for awhile u been the best for awhile happy thanksgiving mam,0.7333333333333334,Positive,"['mr', 'beast', 'huge', 'fan', 'awhile', 'u', 'good', 'awhile', 'happy', 'thanksgiving', 'mam']",0
Ugx5QH-54afcd_sSuNR4AaABAg,@kalichambers7973,Karl's professional motivational advice: PUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUL,2021-11-25T17:08:00Z,karl s professional motivational advice puuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuul,0.1,Positive,"['karl', 'professional', 'motivational', 'advice', 'puuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuul']",2
Ugw1sCe5dW_A2dGXc3N4AaABAg,@shay__23,this man a legend,2021-11-25T17:07:59Z,this man a legend,0.0,Neutral,"['man', 'legend']",0
UgzyAL1DRjYbWKkxFN14AaABAg,@abespino8698,What if you are already sub,2021-11-25T17:07:58Z,what if you are already sub,0.0,Neutral,"['already', 'sub']",1
Ugz1yMBWzlHv996wdxZ4AaABAg,@zucchini_sorcery9269,Thanks for the 456 coins in brawl stars lol,2021-11-25T17:07:56Z,thanks for the 456 coins in brawl stars lol,0.5,Positive,"['thank', 'coin', 'brawl', 'star', 'lol']",1
Ugw7Jq7X7Avsj7EOIQJ4AaABAg,@ederantuansebastianvazquez9410,No pues cuchao jajajaja desventajas de vivir en México ::p,2021-11-25T17:07:56Z,no pues cuchao jajajaja desventajas de vivir en méxico p,0.0,Neutral,"['pues', 'cuchao', 'jajajaja', 'desventajas', 'de', 'vivir', 'en', 'méxico', 'p']",0
